card_id,name_ko,name_en,pool,rarity,cost,type,score_low,score_baseline,score_high,score_width,confidence_score,confidence_grade,low_confidence_effects,fallback_effects,benchmark_v4,benchmark_method,benchmark_comparable,residual_low,residual_baseline,residual_high,rank_low_scenario,rank_baseline_scenario,rank_high_scenario,rank_span,rank_stability,rules,description_en
COLOSSUS,거상,Colossus,ironclad,Uncommon,E1,Skill,5.0,8.0,15.0,10.0,0.637,C,1,0,6.5,v3_table,True,-1.5,1.5,8.5,33,35,36,3,0.965,atomic_fixed|percent_damage_reduction,Gain 5 Block. You receive 50% less damage from Vulnerable enemies this turn.
COMET,혜성,Comet,regent,Rare,E0+S5,Attack,18.8,18.8,18.8,0.0,0.762,B,1,0,6.5,energy_table_star_cost_separated,True,12.3,12.3,12.3,1,5,18,17,0.805,atomic_fixed|cost_star_spend,Deal 33 damage. Apply 3 Weak. Apply 3 Vulnerable.
COMPACT,압축,Compact,defect,Uncommon,E1,Skill,5.6,9.6,15.6,10.0,0.637,C,1,0,6.5,v3_table,True,-0.9,3.1,9.1,29,28,34,6,0.931,atomic_fixed|bulk_transform,Gain 6 Block. Transform all Status cards in your Hand into Fuel.
COMPILE_DRIVER,컴파일 드라이버,Compile Driver,defect,Common,E1,Attack,4.75,6.25,16.0,11.25,0.742,C,1,0,5.3,v3_table,True,-0.55,0.95,10.7,40,45,33,12,0.862,atomic_fixed|atomic_fixed+scaling_count,Deal 7 damage. Draw 1 card for each unique Orb you have.
CONFLAGRATION,대화재,Conflagration,ironclad,Rare,E1,Attack,5.2,5.95,7.45,2.25,0.965,B,0,0,6.5,v3_table,True,-1.3,-0.55,0.95,30,59,58,29,0.663,atomic_fixed|multi_hit_strength_synergy,Deal 2 damage to ALL enemies 4 times.
CONQUEROR,정복자,Conqueror,regent,Uncommon,E1,Skill,3.49,6.99,15.99,12.5,0.462,C,1,0,6.5,v3_table,True,-3.01,0.49,9.49,48,31,22,26,0.701,atomic_fixed|double_damage_window,Forge 3. Sovereign Blade deals double damage to the enemy this turn.
CONSUMING_SHADOW,그림자 소모,Consuming Shadow,defect,Rare,E2,Power,9.925,14.35,32.8,22.875,0.602,C,1,0,17.0,v3_table,True,-7.075,-2.65,15.8,10,7,8,3,0.966,atomic_evoke_orb+recurring_turns|atomic_fixed,"Channel 2 Dark. At the end of your turn, Evoke your leftmost Orb."
CONVERGENCE,수렴,Convergence,regent,Uncommon,E1,Skill,5.2,5.2,5.2,0.0,0.828,B,0,0,6.5,v3_table,True,-1.3,-1.3,-1.3,32,49,62,30,0.655,atomic_retain_hand|delayed_energy_and_stars,"Next turn, gain 1 Energy and 1 Stars. Retain your Hand this turn."
COOLANT,냉각재,Coolant,defect,Rare,E1,Power,1.8,9.768,72.0,70.2,0.42,C,1,0,6.5,v3_table,True,-4.7,3.268,65.5,72,27,1,71,0.184,atomic_fixed+recurring_turns+scaling_count,"At the start of your turn, gain 2 Block for each unique Orb you have."
COOLHEADED,냉정함,Coolheaded,defect,Common,E1,Skill,4.45,4.45,4.45,0.0,0.72,B,0,0,5.3,v3_table,True,-0.85,-0.85,-0.85,42,67,74,32,0.632,atomic_fixed,Channel 1 Frost. Draw 1 card.
COORDINATE,협력,Coordinate,colorless,Uncommon,E1,Skill,3.0,3.0,3.0,0.0,0.72,B,0,0,6.8,v3_table,True,-3.8,-3.8,-3.8,36,56,59,23,0.635,coop_temporary_strength,Give another player 5 Strength this turn.
CORROSIVE_WAVE,부식성 파도,Corrosive Wave,silent,Rare,E1,Skill,2.6,9.1,46.8,44.2,0.42,C,1,0,6.5,v3_table,True,-3.9,2.6,40.3,55,22,1,54,0.379,atomic_fixed+event_triggers,"Whenever you draw a card this turn, apply 2 Poison to ALL enemies."
CORRUPTION,타락,Corruption,ironclad,Ancient,E3,Power,0.5,8.5,20.0,19.5,0.42,C,2,0,,unsupported_rarity_raw_score,False,,,,81,29,28,53,0.384,skill_exhaust_aura|skills_cost_zero,"Skills cost 0 Energy. Whenever you play a Skill, Exhaust it."
COSMIC_INDIFFERENCE,우주적 무관심,Cosmic Indifference,regent,Common,E1,Skill,5.1,5.1,5.1,0.0,0.918,A,0,0,5.3,v3_table,True,-0.2,-0.2,-0.2,34,51,64,30,0.655,atomic_fixed|atomic_retrieve_topdeck,Gain 6 Block. Put a card from your Discard Pile on top of your Draw Pile.
COUNTDOWN,카운트다운,Countdown,necrobinder,Uncommon,E1,Power,2.187,5.395,8.748,6.561,0.42,C,1,0,6.5,v3_table,True,-4.313,-1.105,2.248,68,62,50,18,0.793,atomic_random_target_doom+recurring_turns,"At the start of your turn, apply 6 Doom to a random enemy."
CRASH_LANDING,불시착,Crash Landing,regent,Rare,E1,Attack,10.65,12.65,14.65,4.0,0.96,B,1,0,6.5,v3_table,True,4.15,6.15,8.15,10,9,25,16,0.816,atomic_fixed|fill_hand_status,Deal 21 damage to ALL enemies. Fill your Hand with Debris.
CREATIVE_AI,창의적인 인공지능,Creative AI,defect,Rare,E3,Power,7.5,18.5,30.0,22.5,0.42,C,1,0,20.0,v3_table,True,-12.5,-1.5,10.0,17,3,11,14,0.839,atomic_random_power_card+recurring_turns,"At the start of your turn, add a random Power into your Hand."
CRESCENT_SPEAR,초승달 창,Crescent Spear,regent,Common,E1+S1,Attack,3.0,4.2,12.0,9.0,0.783,C,1,0,5.3,energy_table_star_cost_separated,True,-2.3,-1.1,6.7,52,61,30,31,0.644,additional_damage_scaling|atomic_fixed|cost_star_spend,Deal 8 damage. Deals 2 additional damage for ALL your cards that have a 1 Stars cost.
CRIMSON_MANTLE,핏빛 망토,Crimson Mantle,ironclad,Rare,E1,Power,6.375,15.725,25.5,19.125,0.42,C,1,0,6.5,v3_table,True,-0.125,9.225,19.0,20,10,19,10,0.884,atomic_fixed+recurring_turns,"At the start of your turn, lose 1 HP and gain 8 Block."
CRUELTY,악랄함,Cruelty,ironclad,Rare,E1,Power,1.25,3.0,6.25,5.0,0.42,C,1,0,6.5,v3_table,True,-5.25,-3.5,-0.25,75,83,64,19,0.779,percent_damage_bonus,Vulnerable enemies take an additional 25% damage.
CRUSH_UNDER,지면 파쇄,Crush Under,regent,Common,E1,Attack,5.72,5.72,5.72,0.0,0.943,A,0,0,5.3,v3_table,True,0.42,0.42,0.42,29,46,60,31,0.644,atomic_enemy_strength_loss_turn|atomic_fixed,Deal 7 damage to ALL enemies. All enemies lose 1 Strength this turn.
CURSE_OF_THE_BELL,방울의 저주,Curse of the Bell,curse,Curse,E-1,Curse,-3.0,-2.25,-1.75,1.25,0.72,B,0,0,,special_pool_raw_score,False,,,,9,9,16,7,0.588,keyword_eternal_meta|keyword_unplayable,
DAGGER_SPRAY,단검 분사,Dagger Spray,silent,Common,E1,Attack,5.2,5.45,5.95,0.75,0.975,A,0,0,5.3,v3_table,True,-0.1,0.15,0.65,25,60,67,42,0.517,atomic_fixed|multi_hit_strength_synergy,Deal 4 damage to ALL enemies twice.
DAGGER_THROW,단검 투척,Dagger Throw,silent,Common,E1,Attack,6.0,6.0,6.0,0.0,0.944,A,0,0,5.3,v3_table,True,0.7,0.7,0.7,18,51,65,47,0.46,atomic_fixed,Deal 9 damage. Draw 1 card. Discard 1 card.
DANSE_MACABRE,죽음의 무도,Danse Macabre,necrobinder,Uncommon,E1,Power,2.4,8.4,43.2,40.8,0.42,C,1,0,6.5,v3_table,True,-4.1,1.9,36.7,66,35,5,61,0.299,atomic_fixed+event_triggers,"Whenever you play a card that costs 2 Energy or more, gain 4 Block."
DARKNESS,어둠,Darkness,defect,Uncommon,E1,Skill,6.4,12.4,24.4,18.0,0.526,C,1,0,6.5,v3_table,True,-0.1,5.9,17.9,24,14,17,10,0.885,atomic_fixed|trigger_all_dark,Channel 1 Dark. Trigger the passive ability of all Dark Orbs.
DARK_EMBRACE,어둠의 포옹,Dark Embrace,ironclad,Rare,E2,Power,1.25,4.375,22.5,21.25,0.42,C,1,0,17.0,v3_table,True,-15.75,-12.625,5.5,76,75,23,53,0.384,atomic_fixed+event_triggers,"Whenever a card is Exhausted, draw 1 card."
DARK_SHACKLES,어둠의 족쇄,Dark Shackles,colorless,Uncommon,E0,Skill,7.1,7.1,7.1,0.0,0.72,B,0,0,4.25,v3_table,True,2.85,2.85,2.85,14,28,43,29,0.54,atomic_enemy_strength_loss_turn|keyword_exhaust,Enemy loses 9 Strength this turn.
DASH,돌진,Dash,silent,Uncommon,E2,Attack,11.0,11.0,11.0,0.0,1.0,A,0,0,11.0,v3_table,True,0.0,0.0,0.0,2,10,42,40,0.54,atomic_fixed,Gain 10 Block. Deal 10 damage.
DAZED,어지러움,Dazed,status,Status,E-1,Status,-1.0,-0.25,0.25,1.25,0.72,B,0,0,,special_pool_raw_score,False,,,,3,4,5,2,0.818,keyword_ethereal_cleanup|keyword_unplayable,
DEADLY_POISON,맹독,Deadly Poison,silent,Common,E1,Skill,5.0,5.0,5.0,0.0,1.0,A,0,0,5.3,v3_table,True,-0.3,-0.3,-0.3,32,67,75,43,0.506,atomic_fixed,Apply 5 Poison.
DEATHBRINGER,죽음 인도자,Deathbringer,necrobinder,Uncommon,E2,Skill,10.101,10.101,10.101,0.0,0.72,B,0,0,11.0,v3_table,True,-0.899,-0.899,-0.899,9,21,44,35,0.598,atomic_fixed,Apply 21 Doom and 1 Weak to ALL enemies.
DEATHS_DOOR,죽음의 문턱,Death's Door,necrobinder,Uncommon,E1,Skill,3.6,8.64,10.8,7.2,0.837,C,0,0,6.5,v3_table,True,-2.9,2.14,4.3,51,32,42,19,0.782,atomic_fixed|conditional_repeat_block,"Gain 6 Block. If you applied Doom this turn, gain Block 2 additional times."
DEATH_MARCH,죽음의 행진,Death March,necrobinder,Uncommon,E1,Attack,6.0,8.4,24.0,18.0,0.852,C,0,0,6.5,v3_table,True,-0.5,1.9,17.5,23,36,14,22,0.747,additional_damage_scaling|atomic_fixed,Deal 8 damage. Deals 4 additional damage for each card drawn during your turn.
DEBILITATE,쇠락,Debilitate,necrobinder,Uncommon,E1,Attack,7.0,11.0,17.0,10.0,0.684,C,1,0,6.5,v3_table,True,0.5,4.5,10.5,18,17,32,15,0.828,atomic_fixed|double_debuff_effect,Deal 10 damage. Vulnerable and Weak are twice as effective against the enemy for the next 2 turns.
DEBRIS,잔해,Debris,status,Status,E1,Status,1.0,1.0,1.0,0.0,0.72,B,0,0,,special_pool_raw_score,False,,,,2,2,3,1,0.909,keyword_exhaust_cleanup,
DEBT,빚,Debt,curse,Curse,E-1,Curse,-7.0,-3.25,-1.75,5.25,0.535,C,1,0,,special_pool_raw_score,False,,,,12,12,17,5,0.706,keyword_unplayable|recurring_gold_loss_curse,"At the end of your turn, if this is in your Hand, lose 10 Gold."
DECAY,부패,Decay,curse,Curse,E-1,Curse,-8.6,-4.099,-0.75,7.85,0.72,C,0,0,,special_pool_raw_score,False,,,,14,14,8,6,0.647,atomic_self_damage+condition_probability+recurring_turns|keyword_unplayable,"At the end of your turn, if this is in your Hand, take 2 damage."
DECISIONS_DECISIONS,어려운 결정,"Decisions, Decisions",regent,Rare,E0+S6,Skill,-3.45,2.55,12.55,16.0,0.489,C,2,0,6.5,energy_table_star_cost_separated,True,-9.95,-3.95,6.05,84,78,27,57,0.345,atomic_fixed|cost_star_spend|keyword_exhaust|selected_card_multi_play,Draw 3 cards. Choose a Skill in your Hand and play it 3 times.
DEFEND_DEFECT,수비,Defend,defect,Basic,E1,Skill,3.0,3.0,3.0,0.0,1.0,A,0,0,3.0,v3_table,True,0.0,0.0,0.0,54,77,81,27,0.69,atomic_fixed,Gain 5 Block.
DEFEND_IRONCLAD,수비,Defend,ironclad,Basic,E1,Skill,3.0,3.0,3.0,0.0,1.0,A,0,0,3.0,v3_table,True,0.0,0.0,0.0,59,84,86,27,0.686,atomic_fixed,Gain 5 Block.
DEFEND_NECROBINDER,수비,Defend,necrobinder,Basic,E1,Skill,3.0,3.0,3.0,0.0,1.0,A,0,0,3.0,v3_table,True,0.0,0.0,0.0,58,80,82,24,0.724,atomic_fixed,Gain 5 Block.
DEFEND_REGENT,수비,Defend,regent,Basic,E1,Skill,3.0,3.0,3.0,0.0,1.0,A,0,0,3.0,v3_table,True,0.0,0.0,0.0,53,68,75,22,0.747,atomic_fixed,Gain 5 Block.
DEFEND_SILENT,수비,Defend,silent,Basic,E1,Skill,3.0,3.0,3.0,0.0,1.0,A,0,0,3.0,v3_table,True,0.0,0.0,0.0,49,79,82,33,0.621,atomic_fixed,Gain 5 Block.
DEFILE,모독,Defile,necrobinder,Common,E1,Attack,5.5,5.5,5.5,0.0,0.963,A,0,0,5.3,v3_table,True,0.2,0.2,0.2,33,56,70,37,0.575,atomic_fixed|keyword_ethereal,Deal 13 damage.
DEFLECT,튕겨내기,Deflect,silent,Common,E0,Skill,2.4,2.4,2.4,0.0,1.0,A,0,0,2.7,v3_table,True,-0.3,-0.3,-0.3,59,83,85,26,0.701,atomic_fixed,Gain 4 Block.
DEFRAGMENT,조각모음,Defragment,defect,Rare,E1,Power,6.5,6.5,6.5,0.0,0.72,B,0,0,6.5,v3_table,True,0.0,0.0,0.0,20,40,58,38,0.563,atomic_fixed,Gain 1 Focus.
DEFY,반항,Defy,necrobinder,Common,E1,Skill,4.7,4.7,4.7,0.0,0.87,B,0,0,5.3,v3_table,True,-0.6,-0.6,-0.6,41,65,74,33,0.621,atomic_fixed|keyword_ethereal,Gain 6 Block. Apply 1 Weak.
DELAY,지연,Delay,necrobinder,Uncommon,E2,Skill,8.6,8.6,8.6,0.0,0.935,A,0,0,11.0,v3_table,True,-2.4,-2.4,-2.4,12,33,51,39,0.552,atomic_fixed|atomic_fixed+delay_next_turn,"Gain 11 Block. Next turn, gain 1 Energy."
DEMESNE,권역,Demesne,necrobinder,Rare,E3,Power,4.625,12.875,21.5,16.875,0.44,C,1,0,20.0,v3_table,True,-15.375,-7.125,1.5,44,12,21,32,0.632,atomic_fixed+recurring_turns|keyword_ethereal,"At the start of your turn, gain 1 Energy and draw 1 additional card."
DEMONIC_SHIELD,악마의 방패,Demonic Shield,ironclad,Uncommon,E0,Skill,0.7,5.2,11.95,11.25,0.495,C,1,0,4.3,v3_table,True,-3.6,0.9,7.65,79,64,46,33,0.616,atomic_fixed|coop_block_equal|keyword_exhaust,Lose 1 HP. Give another player Block equal to your Block.
DEMON_FORM,악마의 형상,Demon Form,ironclad,Rare,E3,Power,9.75,24.05,39.0,29.25,0.42,C,1,0,20.0,v3_table,True,-10.25,4.05,19.0,9,1,4,8,0.907,atomic_fixed+recurring_turns,"At the start of your turn, gain 2 Strength."
DEVASTATE,초토화,Devastate,regent,Uncommon,E1+S4,Attack,7.0,7.0,7.0,0.0,0.798,B,1,0,6.5,energy_table_star_cost_separated,True,0.5,0.5,0.5,18,30,49,31,0.644,atomic_fixed|cost_star_spend,Deal 30 damage.
DEVOUR_LIFE,생명 삼키기,Devour Life,necrobinder,Rare,E1,Power,1.1,3.85,19.8,18.7,0.72,C,0,0,6.5,v3_table,True,-5.4,-2.65,13.3,78,74,24,54,0.379,atomic_fixed+event_triggers,"Whenever you play a Soul, Summon 1."
DIRGE,장송가,Dirge,necrobinder,Uncommon,EX,Skill,3.3,7.6,16.2,12.9,0.657,C,1,0,11.0,x_as_2_energy,True,-7.7,-3.4,5.2,55,39,35,20,0.77,atomic_fixed+x_value|keyword_exhaust|x_summon,Summon 3 X times. Add X Souls into your Draw Pile.
DISCOVERY,발견,Discovery,colorless,Uncommon,E1,Skill,4.0,5.0,6.5,2.5,0.67,C,1,0,6.8,v3_table,True,-2.8,-1.8,-0.3,29,43,48,19,0.698,atomic_free_generated_card|discover_card|keyword_exhaust,Choose 1 of 3 random cards to add into your Hand. It's free to play this turn.
DISINTEGRATION,분해,Disintegration,token,Status,E-1,Status,-19.8,-12.21,-4.95,14.85,0.72,C,0,0,,special_pool_raw_score,False,,,,13,13,13,0,1.0,atomic_self_damage+recurring_turns,"At the end of your turn, take 6 damage."
DISMANTLE,해체,Dismantle,ironclad,Uncommon,E1,Attack,4.0,6.8,8.0,4.0,0.761,B,1,0,6.5,v3_table,True,-2.5,0.3,1.5,51,44,57,13,0.849,atomic_fixed|conditional_extra_hits,"Deal 8 damage. If the enemy is Vulnerable, hits twice."
DISTRACTION,방해,Distraction,event,Event,E1,Skill,4.5,4.5,4.5,0.0,0.689,C,1,0,,special_pool_raw_score,False,,,,16,21,23,7,0.731,atomic_free_generated_card|atomic_random_skill_card|keyword_exhaust,Add a random Skill into your Hand. It's free to play this turn.
DODGE_AND_ROLL,구르기,Dodge and Roll,silent,Common,E1,Skill,4.32,4.32,4.32,0.0,1.0,A,0,0,5.3,v3_table,True,-0.98,-0.98,-0.98,37,71,78,41,0.529,atomic_fixed|atomic_fixed+delay_next_turn,"Gain 4 Block. Next turn, gain 4 Block."
DOMINATE,제압,Dominate,ironclad,Uncommon,E1,Skill,4.25,8.15,33.5,29.25,0.507,C,1,0,6.5,v3_table,True,-2.25,1.65,27.0,48,32,6,42,0.512,atomic_fixed|atomic_fixed+scaling_count|keyword_exhaust,Apply 1 Vulnerable. Gain 1 Strength for each Vulnerable on the enemy.
DOUBLE_ENERGY,에너자이저,Double Energy,defect,Uncommon,E1,Skill,1.5,4.0,9.0,7.5,0.47,C,1,0,6.5,v3_table,True,-5.0,-2.5,2.5,73,70,50,23,0.736,double_current_energy|keyword_exhaust,Double your Energy.
DOUBT,의심,Doubt,curse,Curse,E-1,Curse,-11.0,-5.135,-0.75,10.25,0.493,C,1,0,,special_pool_raw_score,False,,,,15,16,9,7,0.588,atomic_self_debuff+condition_probability+recurring_turns|keyword_unplayable,"At the end of your turn, if this is in your Hand, gain 1 Weak."
DRAIN_POWER,기력 흡수,Drain Power,necrobinder,Common,E1,Attack,9.0,9.0,9.0,0.0,0.876,B,0,0,5.3,v3_table,True,3.7,3.7,3.7,11,27,49,38,0.563,atomic_fixed|atomic_upgrade,Deal 10 damage. Upgrade 2 random cards in your Discard Pile.
DRAMATIC_ENTRANCE,극적인 입장,Dramatic Entrance,colorless,Uncommon,E0,Attack,6.65,6.65,6.65,0.0,0.951,A,0,0,4.25,v3_table,True,2.4,2.4,2.4,17,34,46,29,0.54,atomic_fixed|keyword_exhaust|keyword_innate,Deal 11 damage to ALL enemies.
DREDGE,추출,Dredge,necrobinder,Uncommon,E1,Skill,6.5,6.5,6.5,0.0,0.72,B,0,0,6.5,v3_table,True,0.0,0.0,0.0,19,44,59,40,0.54,keyword_exhaust|tutor_to_hand,Put 3 cards from your Discard Pile into your Hand.
DRUM_OF_BATTLE,전투의 북소리,Drum of Battle,ironclad,Uncommon,E1,Skill,8.4,8.4,8.4,0.0,0.72,B,0,0,6.5,v3_table,True,1.9,1.9,1.9,14,30,55,41,0.523,atomic_fixed|self_exhaust_energy,"Draw 2 cards. When this card is Exhausted, gain 2 Energy."
DUALCAST,이중 시전,Dualcast,defect,Basic,E1,Skill,1.5,3.0,8.0,6.5,0.42,C,1,0,3.0,v3_table,True,-1.5,0.0,5.0,74,78,54,24,0.724,atomic_evoke_orb,Evoke your rightmost Orb twice.
DUAL_WIELD,이도류,Dual Wield,event,Event,E1,Skill,1.5,3.0,5.0,3.5,0.503,C,1,0,,special_pool_raw_score,False,,,,24,26,22,4,0.846,atomic_copy_selected_hand|selection_scope,Choose an Attack or Power card. Add a copy of that card into your Hand.
DYING_STAR,죽어가는 별,Dying Star,regent,Rare,E1+S3,Attack,9.38,9.38,9.38,0.0,0.713,B,1,0,6.5,energy_table_star_cost_separated,True,2.88,2.88,2.88,12,19,40,28,0.678,atomic_enemy_strength_loss_turn|atomic_fixed|cost_star_spend|keyword_ethereal,Deal 9 damage to ALL enemies. ALL enemies lose 9 Strength this turn.
ECHOING_SLASH,메아리 참격,Echoing Slash,silent,Rare,E1,Attack,6.5,13.0,26.0,19.5,0.71,C,1,0,6.5,v3_table,True,0.0,6.5,19.5,12,1,8,11,0.874,atomic_fixed|repeat_aoe_per_kill,Deal 10 damage to ALL enemies. Repeat this effect for each enemy killed.
ECHO_FORM,메아리의 형상,Echo Form,defect,Rare,E3,Power,4.0,17.5,35.0,31.0,0.435,C,1,0,20.0,v3_table,True,-16.0,-2.5,15.0,44,4,6,40,0.54,first_card_each_turn_replay|keyword_ethereal,The first card you play each turn is played an extra time.
EIDOLON,허상,Eidolon,necrobinder,Rare,E2,Skill,-2.0,9.4,17.0,19.0,0.668,C,1,0,17.0,v3_table,True,-19.0,-7.6,0.0,85,26,33,59,0.322,atomic_exhaust_hand|atomic_intangible+condition_probability,"Exhaust your Hand. If 9 cards were Exhausted this way, gain 1 Intangible."
END_OF_DAYS,종말의 날,End of Days,necrobinder,Rare,E3,Skill,10.179,14.179,22.179,12.0,0.836,C,1,0,20.0,v3_table,True,-9.821,-5.821,2.179,8,8,18,10,0.885,atomic_fixed|doom_execute,Apply 29 Doom to ALL enemies. Kill enemies with at least as much Doom as HP.
ENERGY_SURGE,에너지 폭주,Energy Surge,defect,Uncommon,E1,Skill,4.0,6.5,11.5,7.5,0.455,C,1,0,6.5,v3_table,True,-2.5,0.0,5.0,45,41,43,4,0.954,all_players+atomic_fixed|keyword_exhaust,ALL players gain 2 Energy.
ENFEEBLING_TOUCH,쇠약의 손길,Enfeebling Touch,necrobinder,Uncommon,E1,Skill,6.2,6.2,6.2,0.0,0.72,B,0,0,6.5,v3_table,True,-0.3,-0.3,-0.3,21,47,61,40,0.54,atomic_enemy_strength_loss_turn|keyword_ethereal,Enemy loses 8 Strength this turn.
ENLIGHTENMENT,계몽,Enlightenment,event,Event,E0,Skill,-1.0,4.0,11.5,12.5,0.47,C,1,0,,special_pool_raw_score,False,,,,27,22,8,19,0.269,hand_cost_floor_one|keyword_exhaust,Reduce the cost of ALL cards in your Hand to 1 this turn.
ENTHRALLED,매료됨,Enthralled,curse,Curse,E2,Curse,-7.0,-3.25,-1.0,6.0,0.512,C,1,0,,special_pool_raw_score,False,,,,13,13,14,1,0.941,keyword_eternal_meta|play_restriction,"If this is in your Hand, it must be played before other cards."
ENTRENCH,참호,Entrench,event,Event,E2,Skill,1.8,4.8,9.0,7.2,0.42,C,1,0,,special_pool_raw_score,False,,,,22,19,12,10,0.615,double_current_block,Double your Block.
ENTROPY,엔트로피,Entropy,colorless,Rare,E1,Power,-3.0,5.55,24.0,27.0,0.42,C,1,0,9.0,v3_table,True,-12.0,-3.45,15.0,63,41,8,55,0.127,recurring_random_transform,"At the start of your turn, Transform 1 card in your Hand."
ENVENOM,독 바르기,Envenom,silent,Rare,E2,Power,1.0,3.5,18.0,17.0,0.72,C,0,0,17.0,v3_table,True,-16.0,-13.5,1.0,75,77,20,57,0.345,atomic_fixed+event_triggers,"Whenever an Attack deals unblocked damage, apply 1 Poison."
EQUILIBRIUM,평형,Equilibrium,colorless,Uncommon,E2,Skill,9.8,9.8,9.8,0.0,1.0,A,0,0,12.0,v3_table,True,-2.2,-2.2,-2.2,7,15,35,28,0.556,atomic_fixed|atomic_retain_hand,Gain 13 Block. Retain your Hand this turn.
ERADICATE,척결,Eradicate,necrobinder,Rare,EX,Attack,6.0,11.5,22.5,16.5,0.72,C,0,0,17.0,x_as_2_energy,True,-11.0,-5.5,5.5,24,15,16,9,0.897,atomic_fixed+x_value|keyword_retain,Deal 11 damage X times.
ESCAPE_PLAN,탈출구,Escape Plan,silent,Uncommon,E0,Skill,1.25,2.51,3.05,1.8,0.569,C,1,0,4.3,v3_table,True,-3.05,-1.79,-1.25,74,82,81,8,0.908,atomic_fixed|atomic_fixed+condition_probability,"Draw 1 card. If you draw a Skill, gain 3 Block."
ETERNAL_ARMOR,영원의 갑옷,Eternal Armor,colorless,Rare,E3,Power,14.4,14.4,14.4,0.0,0.72,B,0,0,14.5,v3_table,True,-0.1,-0.1,-0.1,3,6,21,18,0.714,atomic_fixed,Gain 9 Plating.
EVIL_EYE,악마의 눈,Evil Eye,ironclad,Uncommon,E1,Skill,4.8,8.16,9.6,4.8,0.885,B,0,0,6.5,v3_table,True,-1.7,1.66,3.1,40,31,50,19,0.779,atomic_fixed|conditional_extra_block,Gain 8 Block. Gain another 8 Block if you have Exhausted a card this turn.
EXPECT_A_FIGHT,싸움 준비,Expect a Fight,ironclad,Uncommon,E2,Skill,-5.0,3.0,25.0,30.0,0.42,C,2,0,11.0,v3_table,True,-16.0,-8.0,14.0,87,85,20,67,0.221,atomic_fixed+scaling_count|energy_gain_lock,Gain 1 Energy for each Attack in your Hand. You cannot gain additional 1 Energy this turn.
EXPERTISE,전문성,Expertise,silent,Uncommon,E1,Skill,0.0,5.55,12.0,12.0,0.42,C,1,0,6.5,v3_table,True,-6.5,-0.95,5.5,81,55,38,43,0.506,draw_to_six,Draw cards until you have 6 in your Hand.
EXPOSE,들춰내기,Expose,silent,Uncommon,E0,Skill,4.0,7.0,13.0,9.0,0.587,C,1,0,4.3,v3_table,True,-0.3,2.7,8.7,39,36,36,3,0.966,atomic_fixed|keyword_exhaust|strip_enemy_defense,Remove all Artifact and Block from the enemy. Apply 2 Vulnerable.
EXTERMINATE,박멸,Exterminate,event,Event,E1,Attack,7.8,8.55,10.05,2.25,0.975,B,0,0,,special_pool_raw_score,False,,,,7,9,10,3,0.885,atomic_fixed|multi_hit_strength_synergy,Deal 3 damage to ALL enemies 4 times.
FALLING_STAR,별똥별,Falling Star,regent,Basic,E0+S2,Attack,4.1,4.1,4.1,0.0,0.713,B,1,0,1.5,energy_table_star_cost_separated,True,2.6,2.6,2.6,42,62,70,28,0.678,atomic_fixed|cost_star_spend,Deal 8 damage. Apply 1 Weak. Apply 1 Vulnerable.
FAN_OF_KNIVES,칼날 부채,Fan of Knives,silent,Rare,E2,Power,7.6,9.88,11.6,4.0,0.866,B,1,0,17.0,v3_table,True,-9.4,-7.12,-5.4,9,14,39,30,0.655,atomic_fixed|shiv_aoe_conversion,Shivs now hit ALL enemies. Add 4 Shivs into your Hand.
FASTEN,고정시키기,Fasten,colorless,Uncommon,E1,Power,2.4,7.2,16.8,14.4,0.42,C,1,0,6.8,v3_table,True,-4.4,0.4,10.0,43,26,17,26,0.587,defend_block_aura,Gain an additional 4 Block from Defend cards.
FEAR,두려움,Fear,necrobinder,Common,E1,Attack,4.5,4.5,4.5,0.0,0.871,B,0,0,5.3,v3_table,True,-0.8,-0.8,-0.8,46,69,77,31,0.644,atomic_fixed|keyword_ethereal,Deal 7 damage. Apply 1 Vulnerable.
FEED,포식,Feed,ironclad,Rare,E1,Attack,4.0,7.15,8.5,4.5,0.77,B,1,0,6.5,v3_table,True,-2.5,0.65,2.0,52,42,54,12,0.86,atomic_fixed|fatal_max_hp_gain|keyword_exhaust,"Deal 10 damage. If Fatal, raise your Max HP by 3."
FEEDING_FRENZY,광란의 포식,Feeding Frenzy,event,Event,E0,Skill,4.0,4.0,4.0,0.0,1.0,A,0,0,,special_pool_raw_score,False,,,,18,23,25,7,0.731,atomic_temporary_stat,Gain 5 Strength this turn.
FEEL_NO_PAIN,무감각,Feel No Pain,ironclad,Uncommon,E1,Power,1.8,6.3,32.4,30.6,0.72,C,0,0,6.5,v3_table,True,-4.7,-0.2,25.9,73,51,8,65,0.244,atomic_fixed+event_triggers,"Whenever a card is Exhausted, gain 3 Block."
FERAL,야성,Feral,defect,Uncommon,E2,Power,3.0,7.4,14.0,11.0,0.42,C,1,0,11.0,v3_table,True,-8.0,-3.6,3.0,55,39,37,18,0.793,zero_cost_attack_return,"The first time you play a 0 Energy Attack each turn, return it to your Hand."
FETCH,회수,Fetch,necrobinder,Uncommon,E0,Attack,1.35,2.225,2.6,1.25,0.772,B,1,0,4.3,v3_table,True,-2.95,-2.075,-1.7,75,84,86,11,0.874,atomic_fixed+condition_probability|atomic_osty_damage,"Osty deals 3 damage. If this is the first time this card has been played this turn, draw 1 card."
